,Unnamed: 0,Unnamed: 0.1,name,epochs,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,act_layer,optimizer,activation,batch_size,num_layers,weight_decay,learning_rate,dropout,validation_split,layer_7,layer_8,layer_9,layer_10,lr,MSE,loss,_step,epoch,graph,MSE_diff,_runtime,val_loss,MSE_train,_timestamp,best_epoch,best_val_loss,RMSPE,num_nodes_total
36,36,36,solar-sweep-115,1000.0,542,327,544,496,994,812,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.003365242,0.001653786,144.0,143.0,"{'path': 'media/graph/graph_summary_a3b43854.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'a3b43854828cf12d5776f9fff6a1d79a7614ae340d3f233564ff17c49b936b86'}",0.0007463210000000001,12.49757099,0.008699054,0.002618921,1588268048.0,43.0,0.006896884,5.801070590847866,3715.0
37,37,37,fragrant-sweep-114,1000.0,510,280,624,628,977,902,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000320275,0.002829968,0.001785314,188.0,187.0,"{'path': 'media/graph/graph_summary_45fc78b7.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '45fc78b7b51c4a8524abd6f435980d406b1cee7c966a9e664448af725e91c240'}",0.000368915,13.89084339,0.011137355,0.002461053,1588268021.0,87.0,0.008870506,5.319744354759917,3921.0
38,38,38,northern-sweep-113,1000.0,715,349,743,441,960,806,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.003790633,0.001635387,131.0,130.0,"{'path': 'media/graph/graph_summary_fe24bf3b.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'fe24bf3bdf6b87e50a22af9fc2d58e5e943ee99baa96564ef36347dc1df0c0f9'}",0.000773554,12.06871748,0.010762907,0.003017078,1588267991.0,30.0,0.007272883000000002,6.156811674884981,4014.0
39,39,39,elated-sweep-112,1000.0,528,279,713,657,997,858,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.002899387,0.002034014,133.0,132.0,"{'path': 'media/graph/graph_summary_7f6a5f1a.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '7f6a5f1a9a0866057649c8730b58e508810943489d2583dbda72b281b2dea5b0'}",-0.000191,11.99690938,0.011178532,0.003090386,1588267963.0,32.0,0.008226476,5.38459562084285,4032.0
40,40,40,clean-sweep-111,1000.0,669,273,599,411,983,866,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.002697621,0.0017026379999999998,143.0,142.0,"{'path': 'media/graph/graph_summary_b4c50489.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'b4c5048945c2d848f964aa5f13633e8785bc93bbccfb65fc9e086cbefd9465bb'}",0.000160657,11.63687277,0.010084585,0.002536964,1588267934.0,42.0,0.007658438,5.193862724408492,3801.0
41,41,41,desert-sweep-110,1000.0,734,390,644,601,968,918,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000320275,0.003871137,0.001621046,194.0,193.0,"{'path': 'media/graph/graph_summary_14b5e9b1.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '14b5e9b1c64557a8d2bda350be882693ce43d7a63bc941067f2cdf5dd8591733'}",0.00173827,15.52746558,0.009045568,0.002132867,1588267905.0,93.0,0.006909363000000001,6.221846189034248,4255.0
42,42,42,pleasant-sweep-109,1000.0,614,262,616,660,951,979,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003608306,0.001631965,145.0,144.0,"{'path': 'media/graph/graph_summary_0877ef26.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '0877ef26633f54c3c023a19e002ec99e3f84c6142b6e686f21042e11c452571f'}",0.001265001,12.43174696,0.009060697,0.002343304,1588267873.0,44.0,0.006573829000000001,6.00691767880999,4082.0
43,43,43,winter-sweep-108,1000.0,683,277,560,700,956,899,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.003389906,0.001896538,138.0,137.0,"{'path': 'media/graph/graph_summary_2a592d6c.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '2a592d6c304c6a1529f0850f16387ab9f72fff3f325e1479e259a30bcdafc95a'}",0.000679713,11.86526132,0.008893161,0.002710193,1588267844.0,37.0,0.007083547,5.822289927511339,4075.0
44,44,44,sandy-sweep-107,1000.0,695,357,582,410,986,941,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.00355228,0.001820809,127.0,126.0,"{'path': 'media/graph/graph_summary_cb6b4be3.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'cb6b4be31ad31039dc9d32507e2a038bd403dd42d91235b1b375ad16743a62a7'}",0.000365841,11.04246211,0.009650129,0.003186439,1588267815.0,26.0,0.007211208,5.960100670290729,3971.0
45,45,45,iconic-sweep-106,,581,465,744,657,979,840,relu,adam,,,6,,,,,,,,,,,,,,,,,,,,,,,4266.0
46,46,46,clean-sweep-105,1000.0,638,315,508,521,974,985,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000189119,0.003330773,0.002126228,260.0,259.0,"{'path': 'media/graph/graph_summary_87b694e0.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '87b694e09924519edcc6c9cc87c33835e6bf9e4d1f1b5c06f30b076e61949520'}",0.000538438,16.89680362,0.008977063,0.002792335,1588267777.0,159.0,0.007235612,5.77128495224417,3941.0
47,47,47,smooth-sweep-104,1000.0,739,456,736,548,969,825,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.002996083,0.00170498,155.0,154.0,"{'path': 'media/graph/graph_summary_5a6c48c9.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '5a6c48c923bd1ac88b307322f9dfde5f7c75e8e5476bf541e635547c54462de4'}",0.00068506,14.38651776,0.009395336,0.002311023,1588267741.0,54.0,0.006513455,5.473648691686378,4273.0
